"biome","year","lambda_natural","n_zones","forest_kha"
"Temperate",2013,0.0019477670043997,17,80179.2153
"Temperate",2014,0.00145624635465845,17,80179.2153
"Temperate",2015,0.00191295536413163,17,80179.2153
"Temperate",2016,0.00111095412528938,17,80179.2153
"Temperate",2017,0.00178837856498703,17,80179.2153
"Temperate",2018,0.00281581640772182,17,80179.2153
"Temperate",2019,0.00339970862748017,17,80179.2153
"Temperate",2020,0.00369774646572277,17,80179.2153
"Temperate",2021,0.00252622302727874,17,80179.2153
"Temperate",2022,0.00545064887907428,17,80179.2153
"Temperate",2023,0.00203580914815962,17,80179.2153
"Temperate_UK",1986,0.00296410340893665,2,3203.54208
"Temperate_UK",1987,0.00315053454830848,2,3203.54208
"Temperate_UK",1988,0.00680220813581447,2,3203.54208
"Temperate_UK",1989,0.00582543932121535,2,3203.54208
"Temperate_UK",1990,0.00271429242471508,2,3203.54208
"Temperate_UK",1991,0.00246214964655623,2,3203.54208
"Temperate_UK",1992,0.00275497239605481,2,3203.54208
"Temperate_UK",1993,0.0034238320353201,2,3203.54208
"Temperate_UK",1994,0.00161374187411954,2,3203.54208
"Temperate_UK",1995,0.00709359809626724,2,3203.54208
"Temperate_UK",1996,0.00318096024510469,2,3203.54208
"Temperate_UK",1997,0.00295730468444479,2,3203.54208
"Temperate_UK",1998,0.00383535152439764,2,3203.54208
"Temperate_UK",1999,0.00372704952887649,2,3203.54208
"Temperate_UK",2000,0.00384459441843823,2,3203.54208
"Temperate_UK",2001,0.00281894221286458,2,3203.54208
"Temperate_UK",2002,0.0013731456900357,2,3203.54208
"Temperate_UK",2003,0.00442653152225801,2,3203.54208
"Temperate_UK",2004,0.00296312012233659,2,3203.54208
"Temperate_UK",2005,0.00205681081610765,2,3203.54208
"Temperate_UK",2006,0.00312468815767827,2,3203.54208
"Temperate_UK",2007,0.000826382152595292,2,3203.54208
"Temperate_UK",2008,0.00090276947446871,2,3203.54208
"Temperate_UK",2009,0.00169824833391919,2,3203.54208
"Temperate_UK",2010,0.0014771774123223,2,3203.54208
"Temperate_UK",2011,0.000366653526211836,2,3203.54208
"Temperate_UK",2012,0.000603260376089706,2,3203.54208
"Temperate_UK",2013,0.0015184192617192,2,3203.54208
"Temperate_UK",2014,0.000401265214534032,2,3203.54208
"Temperate_UK",2015,0.00151743597511914,2,3203.54208
"Temperate_UK",2016,0.00222461569788401,2,3203.54208
"Temperate_UK",2017,0.00307850178137819,2,3203.54208
"Temperate_UK",2018,0.00610873823764475,2,3203.54208
"Temperate_UK",2019,0.00384526867210684,2,3203.54208
"Temperate_UK",2020,0.00320085072832881,2,3203.54208
"Temperate_UK",2021,0.00542684302745291,2,3203.54208
"Temperate_UK",2022,0.00632286996523548,2,3203.54208
"Temperate_UK",2023,0.00510008284330075,2,3203.54208
