OBJECTID,country,project_id,project_name,group_id,group_name,project_status,class,sub_class,grant_reference,phase,hectares,Shape__Area,Shape__Length
1,Wales,103000000004283,Brynrhyg,,,Verified,Planted,Broadleaved (>80%),BWW 17091,1,9.51,95079.72909164429,2675.7058953336946
2,Scotland,103000000004381,Lawel Hill,,,Verified,Planted,Mixed predominantly conifer (50-80%),SRDP 31900860,1,58.06,580633.0156555176,5859.850927952511
3,Scotland,103000000004384,Glenmuck,,,Verified,Planted,Mixed predominantly broadleaved (50-80%),SRDP 034900869,1,41.94,419382.87239074707,3207.3266420468576
4,Wales,103000000004386,Iscoed,,,Verified,Planted,Broadleaved (>80%),"Glastir 052002175, Glastir 25867",1,16.59,165919.22901535034,2021.2637036242888
5,Scotland,103000000004388,Minsca,,,Verified,Planted,Broadleaved (>80%),SRDP 034900947,1,15.8,157990.44862365723,4679.975292370351
6,Scotland,103000000004390,Garvalt Burn,,,Verified,Planted,Mixed predominantly conifer (50-80%),SRDP 4405223,1,50.27,502658.45751953125,3433.2498713704526
7,England,103000000004392,Haywood,,,Verified,Planted,Mixed predominantly conifer (50-80%),"EWGS 24170, EWGS 30040",1,61.9,618966.5770263672,9390.521049967814
8,Scotland,103000000004403,Overkirkhope,,,Verified,Planted,Broadleaved (>80%),RDC_RP/3836897/803/0024/3836097/S/002,1,168.31,1683064.864868164,14526.717637204856
9,Scotland,103000000004406,Scalpay West,,,Verified,Planted,Broadleaved (>80%),SRDP 3890415,5,108.52,1085180.5380325317,19483.27421765262
10,Scotland,103000000004406,Scalpay West,,,Verified,Natural Regeneration - Future,Conifer (>80%),SRDP 3890415,5,1.05,10451.441329956055,595.5987181355495
11,Scotland,103000000004406,Scalpay West,,,Verified,Other,Open Ground,SRDP 3890415,5,68.11,681141.6861724854,20046.633316061605
12,England,103000000004407,Moorside Wood,,,Verified,Planted,Broadleaved (>80%),"EWGS 17363, EWGS 19456",1,22.07,220696.95135498047,3416.3397243014842
13,Scotland,103000000004408,Topps Wood,,,Verified,Planted,Mixed predominantly broadleaved (50-80%),SRDP 4158347,1,23.03,230337.53259277344,2465.2026458676546
14,Scotland,103000000004411,Floors,,,Verified,Planted,Broadleaved (>80%),SRDP 4166814,1,13.05,130452.64404296875,1984.1419707856305
15,Scotland,103000000004412,Mid Hill,,,Verified,Planted,Broadleaved (>80%),SRDP 4139390,1,74.58,745782.5949859619,5499.176676169666
16,Scotland,103000000004413,Bills Cleuch,,,Verified,Planted,Broadleaved (>80%),SRDP 4405217,1,260.06,2600559.4062194824,7370.910864076333
17,England,103000000004414,Higham Estate,,,Verified,Planted,Broadleaved (>80%),EWGS 15285,1,8.51,85145.67102050781,1865.941602541756
18,Scotland,103000000004415,Ken View,,,Verified,Planted,Broadleaved (>80%),SRDP 4159128,1,30.57,313805.2023159638,4709.739191493766
19,Scotland,103000000004415,Ken View,,,Verified,Other,Open Ground,SRDP 4159128,1,11.37,113663.34763120487,3857.6165681942184
20,Scotland,103000000004416,Milton of Mathers,,,Verified,Planted,Broadleaved (>80%),SRDP 031900872,1,17.41,174117.25902804732,4885.809373054125
21,Scotland,103000000004417,Cairns Farm,,,Verified,Planted,Mixed predominantly broadleaved (50-80%),SRDP 4158347,1,6.65,66532.1939086914,3360.8536943673143
22,Scotland,103000000004418,Alladale Phase II,,,Verified,Planted,Mixed predominantly conifer (50-80%),SRDP 3785252,1,178.4,1784008.8361968994,6860.029955005035
23,Scotland,103000000004419,Ardochy,,,Verified,Planted,Mixed predominantly broadleaved (50-80%),SRDP 3854252,1,323.27,3232664.703063965,9237.707411721261
24,Scotland,103000000004420,Barr Farm,,,Verified,Planted,Broadleaved (>80%),SRDP 43353388,1,14.38,143804.09968566895,1616.2375948956849
25,Scotland,103000000004420,Barr Farm,,,Verified,Planted,Conifer (>80%),SRDP 43353388,1,13.45,134506.78190612793,1777.7334725044202
26,Scotland,103000000004421,Stonebyres,,,Verified,Planted,Broadleaved (>80%),SRDP 3644239,1,11.33,113308.24739074707,1342.2681241271036
27,Scotland,103000000004422,Winterhope,,,Verified,Planted,Broadleaved (>80%),SRDP 4177918,1,115.58,1155794.6861877441,17664.168533867607
28,England,103000000004423,Reathwaite,,,Verified,Planted,Broadleaved (>80%),EWGS 19621,1,12.46,124608.4149017334,5283.43734706114
29,Scotland,103000000004424,Gorton Hill,,,Verified,Planted,Mixed predominantly broadleaved (50-80%),SRDP 4139390,1,196.35,1963463.6861419678,12675.23992907145
30,Scotland,103000000004424,Gorton Hill,,,Verified,Other,Open Ground,SRDP 4139390,1,47.21,472084.3103027344,8397.543847638097
31,Scotland,103000000004429,Glen Estate Jubilee Wood,,,Verified,Planted,Broadleaved (>80%),SRDP 469/0471,1,37.82,378210.9578704834,3983.3422361250914
32,England,103000000004430,Yoxall,,,Verified,Planted,Broadleaved (>80%),EWGS 23933,1,15.73,157285.04780578613,1806.8132293069646
33,Scotland,103000000004433,Parkhead Community Woodland,,,Verified,Planted,Broadleaved (>80%),SRDP 4890391,1,21.14,211426.00581359863,3011.798026082172
34,England,103000000004434,Long Wood,,,Verified,Planted,Broadleaved (>80%),EWGS 15423,1,11.73,117278.88569641113,4955.862278966184
35,Scotland,103000000004435,Broadgairhill,,,Verified,Planted,Broadleaved (>80%),SRDP 4131811,1,207.95,2079490.687652588,11114.87448937133
36,Scotland,103000000004436,Broxburn Community Woodland Phase 4,,,Verified,Planted,Mixed predominantly broadleaved (50-80%),SRDP 3871035,1,16.9,168952.92561340332,1987.1875522964056
37,Scotland,103000000004439,Corehead,,,Verified,Planted,Broadleaved (>80%),SRDP 4125784,1,196.33,1963274.024154663,16638.54560746164
38,Wales,103000000004447,Cwm Fagor,,,Verified,Planted,Mixed predominantly broadleaved (50-80%),BWW 18694,1,33.15,331520.31214904785,2998.9586569972544
39,England,103000000004454,Warcop Training Area,,,Verified,Planted,Broadleaved (>80%),No Grant,6,119.75,1197477.7523040771,39344.03514652004
40,England,103000000004455,Shocott Spring Community Woodland,,,Verified,Planted,Broadleaved (>80%),"EWGS 871, EWGS 15929, EWGS 20651",1,51.59,515884.5348510742,3115.034128308039
41,England,103000000004461,Bescaby Diamond Wood,,,Verified,Planted,Broadleaved (>80%),EWGS 27131,1,13.31,133127.89294433594,3794.1191567137244
42,Scotland,103000000004474,Halterburnhead,103000000000747,Tweed Forum (G0005),Verified,Planted,Broadleaved (>80%),SRDP 4622873,1,29.92,299174.40397644043,10913.48432093679
43,Scotland,103000000004474,Halterburnhead,103000000000747,Tweed Forum (G0005),Verified,Other,Open Ground,SRDP 4622873,1,4.98,49839.308044433594,6439.793028110627
44,Scotland,103000000004475,Shiplaw Burn,103000000000747,Tweed Forum (G0005),Verified,Planted,Broadleaved (>80%),SRDP 4401177,1,20.09,200941.9133605957,3212.465716992906
45,Scotland,103000000004476,Mowhaugh,103000000000747,Tweed Forum (G0005),Verified,Planted,Broadleaved (>80%),SRDP 4641167,1,5.9,59035.25099182129,3325.60109995125
46,Scotland,103000000004479,Coshogle 1,103000000000748,Buccleuch Estates (G0001),Verified,Planted,Broadleaved (>80%),SRDP 16208,1,20.93,209313.1198425293,3775.6936614622136
47,England,103000000004480,Boughton,103000000000748,Buccleuch Estates (G0001),Verified,Planted,Broadleaved (>80%),EWGS 20385,1,5.5,55029.51419067383,2112.7977840801177
48,Scotland,103000000004481,Crairieknowe,103000000000748,Buccleuch Estates (G0001),Verified,Planted,Conifer (>80%),SRDP 3790810,1,50.07,500653.34088134766,3960.2755934301367
49,Scotland,103000000004482,Coshogle 2,103000000000748,Buccleuch Estates (G0001),Verified,Planted,Broadleaved (>80%),SRDP 4354734,1,104.81,1048075.3800964355,16949.389082280588
50,Scotland,103000000004483,Gallows Knowe,103000000000748,Buccleuch Estates (G0001),Verified,Planted,Conifer (>80%),SRDP 16172,1,14.37,143710.36499023438,1652.6626880518074
51,Scotland,103000000004486,Riverbank,103000000000748,Buccleuch Estates (G0001),Verified,Planted,Broadleaved (>80%),SRDP 0340 00815,1,4.39,43878.832427978516,2584.5681327591706
52,England,103000000004494,Van Diemen's Land,103000000000749,Forest of Marston Vale (G0003),Verified,Planted,Broadleaved (>80%),WGS 017003895,1,3.55,35460.49108886719,751.2737521761699
53,England,103000000004495,The Kill,103000000000749,Forest of Marston Vale (G0003),Verified,Planted,Broadleaved (>80%),EWGS 2866,1,4.84,48409.535652160645,1276.880426639525
54,England,103000000004496,Ridgeway Wood,103000000000749,Forest of Marston Vale (G0003),Verified,Planted,Broadleaved (>80%),WGS 017004579,1,10.48,104832.51677703857,1507.8784089886851
55,England,103000000004497,Rectory Wood,103000000000749,Forest of Marston Vale (G0003),Verified,Planted,Broadleaved (>80%),"EWGS 15912, WGS 017004582",1,57.62,576196.8241119385,7050.907297528362
56,England,103000000004498,Granary Wood,103000000000749,Forest of Marston Vale (G0003),Verified,Planted,Broadleaved (>80%),EWGS 20667,1,3.12,31214.368324279785,989.2840276009985
57,England,103000000004499,Conquest Wood,103000000000749,Forest of Marston Vale (G0003),Verified,Planted,Broadleaved (>80%),WGS 017004579,1,7.77,77681.77536773682,1224.351321069862
58,England,103000000004500,Folly Wood,103000000000749,Forest of Marston Vale (G0003),Verified,Planted,Broadleaved (>80%),EWGS 20657,1,12.46,124621.84280395508,2016.4970449818397
59,England,103000000004501,Button's Ramsey,103000000000749,Forest of Marston Vale (G0003),Verified,Planted,Broadleaved (>80%),WGS 017004581,1,8.02,80177.27785491943,1214.7094294618978
60,England,103000000004502,Wiles Wood,103000000000749,Forest of Marston Vale (G0003),Verified,Planted,Broadleaved (>80%),"EWGS 2837, EWGS 20663",1,21.64,216415.6696395874,2601.338577629144
61,England,103000000004505,Upton Court Park,,,Verified,Planted,Broadleaved (>80%),EWGS 30165,1,7.3,72966.46752166748,1675.2212559115826
62,Scotland,103000000004508,Balcorach,103000000000754,Forest Carbon Group Scheme 1,Verified,Planted,Mixed predominantly broadleaved (50-80%),SRDP 4084804,1,20.29,202850.95874023438,3373.4356295427583
63,Northern Ireland,103000000004509,Minnowburn,103000000000754,Forest Carbon Group Scheme 1,Verified,Planted,Mixed predominantly broadleaved (50-80%),DARD 625882 250311,8,11.31,113137.38276672363,1953.651514023044
64,Wales,103000000004512,Louisa's Wood,103000000000751,James Lonsdale Group (G0007),Validated,Planted,Broadleaved (>80%),Glastir 29414,1,7.17,71651.21354293823,1561.9176915036976
65,England,103000000004514,Gills Wood,103000000004846,Lonsdale Group 2,Validated,Planted,Broadleaved (>80%),EWGS 26543,1,4.49,44884.204513549805,1344.6348854434525
66,England,103000000004515,Owens Wood,103000000004846,Lonsdale Group 2,Validated,Planted,Broadleaved (>80%),EWGS 29517,1,4.79,47932.1379699707,907.3815481079392
67,England,103000000004516,Rob's Wood,103000000000751,James Lonsdale Group (G0007),Validated,Planted,Broadleaved (>80%),EWGS 29606,1,10.15,101545.17002868652,1909.3959153164237
68,Wales,103000000004519,Davids Wood,103000000000751,James Lonsdale Group (G0007),Validated,Planted,Broadleaved (>80%),Glastir 30141,1,11.16,111612.98295211792,1588.628993747425
69,Wales,103000000004520,Louisa's Wood 2,103000000004846,Lonsdale Group 2,Validated,Planted,Broadleaved (>80%),Glastir 30763,1,2.78,27766.070240020752,867.5749008925051
70,England,103000000004521,Maddies Wood,103000000000751,James Lonsdale Group (G0007),Validated,Planted,Broadleaved (>80%),"EWGS 30752, EWGS 30749",1,28.71,287101.03842163086,4346.053116462243
71,England,103000000004521,Maddies Wood,103000000000751,James Lonsdale Group (G0007),Validated,Other,Open Ground,"EWGS 30752, EWGS 30749",1,7.05,70471.97196960449,2134.072581661929
72,England,103000000004522,Joanna's Wood,103000000000751,James Lonsdale Group (G0007),Validated,Planted,Broadleaved (>80%),EWGS 30283,1,17.96,179556.4006500244,1878.2540221679415
73,England,103000000004524,Barbara's wood,103000000004846,Lonsdale Group 2,Validated,Planted,Broadleaved (>80%),EWGS 33450,1,7.11,71134.79963684082,1284.3636392738713
74,England,103000000004529,Nethergill Farm,103000000000756,Yorkshire Dales Millennium Trust (G0002),Verified,Planted,Broadleaved (>80%),EWGS 2858,1,14.96,149601.27207946777,2634.7095732970097
75,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance ,Validated,Planted,Broadleaved (>80%),No Grant,5,450.1,4501033.373931885,275822.0033381037
76,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance ,Validated,Planted,Mixed predominantly conifer (50-80%),No Grant,5,158.65,1586482.3597106934,96337.55681209298
77,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance ,Validated,Natural Regeneration - Upfront,Broadleaved (>80%),No Grant,5,1375.83,13758274.48852539,548190.8399903716
78,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance ,Validated,Other,Existing Woodland,No Grant,5,939.16,9391552.43876648,392886.66515274555
79,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance ,Validated,Other,Open Ground,No Grant,5,6676.94,66769392.59413147,592137.1232704713
80,England,103000000004531,Storthwaite,103000000000756,Yorkshire Dales Millennium Trust (G0002),Verified,Planted,Broadleaved (>80%),EWGS 20961,1,12.49,124881.66389465332,2082.3880482941604
81,England,103000000004577,Calm Slate,103000000000756,Yorkshire Dales Millennium Trust (G0002),Verified,Planted,Broadleaved (>80%),EWGS 17995,1,4.37,43680.79823303223,2364.5411974976073
82,England,103000000004578,Town End Farm,103000000000756,Yorkshire Dales Millennium Trust (G0002),Verified,Planted,Broadleaved (>80%),EWGS 19391,1,2.66,26623.881439208984,952.5338362028295
83,England,103000000004579,Lamberts Wood,103000000000756,Yorkshire Dales Millennium Trust (G0002),Verified,Planted,Broadleaved (>80%),EWGS 17880,1,1.85,18483.13983154297,809.9301741159065
84,England,103000000004580,Dewsbury Country Park,103000000000750,White Rose Forest (G0004),Validated,Planted,Broadleaved (>80%),EWGS 29448,1,44.42,444168.20191955566,9546.617481942627
85,England,103000000004581,Stoney Ridge Plantation,103000000000750,White Rose Forest (G0004),Validated,Planted,Broadleaved (>80%),EWGS 29905,1,0.76,7618.469482421875,593.826227764428
86,England,103000000004582,Lippersley Wood,103000000000750,White Rose Forest (G0004),Validated,Planted,Broadleaved (>80%),EWGS 30074,1,0.51,5076.705718994141,283.6772297768416
87,England,103000000004583,21 Acre Field,103000000000750,White Rose Forest (G0004),Validated,Planted,Broadleaved (>80%),EWGS 30557,1,3.23,32343.49299621582,1004.3477345444858
88,England,103000000004584,"Tank Row, Dearne Valley Park",103000000000750,White Rose Forest (G0004),Validated,Planted,Broadleaved (>80%),EWGS 30730,1,0.81,8051.035247802734,635.3698822185536
89,England,103000000004585,Shawcross,103000000000750,White Rose Forest (G0004),Validated,Planted,Broadleaved (>80%),EWGS 31547,1,6.05,60527.79249572754,1871.4500073604718
90,England,103000000004587,Gillcarr,103000000000750,White Rose Forest (G0004),Validated,Planted,Broadleaved (>80%),EWGS 31549,1,6.92,69203.0460357666,1081.9107469565024
91,England,103000000004588,Birk Crag,103000000000750,White Rose Forest (G0004),Validated,Planted,Broadleaved (>80%),EWGS 31963,1,6.88,68816.11306762695,1955.5392763647387
92,England,103000000004589,Escrick Park Jubilee Wood,103000000000750,White Rose Forest (G0004),Validated,Planted,Broadleaved (>80%),EWGS 29665,1,10.7,107048.72953796387,1966.9403480494811
93,Scotland,103000000004592,Burnmouth,103000000000748,Buccleuch Estates (G0001),Verified,Planted,Conifer (>80%),SRDP 16173,1,16.94,169355.7256011963,1753.3214825743107
94,Scotland,103000000004593,Holm of Drumlanrig,103000000000748,Buccleuch Estates (G0001),Verified,Planted,Broadleaved (>80%),"SRDP 0349 00814, SRDP 0349 00818",1,1.95,19522.65072631836,655.2194157965173
95,Scotland,103000000004594,Merkland,103000000000748,Buccleuch Estates (G0001),Verified,Planted,Broadleaved (>80%),SRDP 0349 00816,1,2.05,20549.458953857422,883.35280196239
96,Scotland,103000000004595,Auchenhessnane,103000000000748,Buccleuch Estates (G0001),Verified,Planted,Broadleaved (>80%),SRDP 0349 00817,1,3.6,35957.556396484375,1053.9197954496312
97,Scotland,103000000004596,Ackron Mixed Woodland,,,Verified,Planted,Mixed predominantly conifer (50-80%),WGS 030/002120,2,49.64,496410.7516784668,6387.927678764324
98,Scotland,103000000004596,Ackron Mixed Woodland,,,Verified,Other,Open Ground,WGS 030/002120,2,3.83,38334.40838623047,1876.245046758341
99,Scotland,103000000004597,Ackron Native Woodland,,,Verified,Planted,Broadleaved (>80%),"RP3837232, RP 4047370",2,52.1,521014.25357055664,7505.873153142101
100,Scotland,103000000004598,Glenmore Forest Park,103000000000757,Scottish Forest Alliance ,Validated,Natural Regeneration - Upfront,Mixed predominantly conifer (50-80%),No Grant,5,308.16,3081631.087158203,31719.8665691093
101,Scotland,103000000004598,Glenmore Forest Park,103000000000757,Scottish Forest Alliance ,Validated,Other,Existing Woodland,No Grant,5,1009.9,10099006.622039795,45026.34418246136
102,Scotland,103000000004598,Glenmore Forest Park,103000000000757,Scottish Forest Alliance ,Validated,Other,Open Ground,No Grant,5,123.98,1239781.9694213867,22320.17073423791
103,Scotland,103000000004599,Kinloch Hills,103000000000757,Scottish Forest Alliance ,Validated,Planted,Broadleaved (>80%),No Grant,5,423,4230018.738433838,37928.64938588684
104,Scotland,103000000004599,Kinloch Hills,103000000000757,Scottish Forest Alliance ,Validated,Natural Regeneration - Upfront,Broadleaved (>80%),No Grant,5,170.77,1707730.1818237305,50359.56521186112
105,Scotland,103000000004599,Kinloch Hills,103000000000757,Scottish Forest Alliance ,Validated,Other,Existing Woodland,No Grant,5,2603.81,26038148.53791809,241870.5283353735
106,Scotland,103000000004599,Kinloch Hills,103000000000757,Scottish Forest Alliance ,Validated,Other,Open Ground,No Grant,5,1530.21,15302090.330673218,252232.68254501693
107,Scotland,103000000004600,Darrochwids (Merdrum),103000000000757,Scottish Forest Alliance ,Validated,Planted,Broadleaved (>80%),No Grant,4,50.55,505478.3584289551,13936.616508135496
108,Scotland,103000000004600,Darrochwids (Merdrum),103000000000757,Scottish Forest Alliance ,Validated,Planted,Mixed predominantly broadleaved (50-80%),No Grant,4,5.89,58940.03515625,1457.937331347553
109,Scotland,103000000004600,Darrochwids (Merdrum),103000000000757,Scottish Forest Alliance ,Validated,Other,Open Ground,No Grant,4,24.17,241695.67361450195,15858.3778035049
110,Scotland,103000000004601,Darrochwids (Blackmiddens),103000000000757,Scottish Forest Alliance ,Validated,Planted,Broadleaved (>80%),No Grant,4,28.9,289022.1336669922,3531.9305370105285
111,Scotland,103000000004601,Darrochwids (Blackmiddens),103000000000757,Scottish Forest Alliance ,Validated,Planted,Mixed predominantly broadleaved (50-80%),No Grant,4,6.35,63516.07376098633,2127.0577580195563
112,Scotland,103000000004601,Darrochwids (Blackmiddens),103000000000757,Scottish Forest Alliance ,Validated,Other,Open Ground,No Grant,4,70.4,703954.4432678223,7320.84696518284
113,Scotland,103000000004604,Inversnaid,103000000000757,Scottish Forest Alliance ,Validated,Planted,Broadleaved (>80%),n/a,8,110.59,1105889.6674194336,4732.661718249259
114,Scotland,103000000004604,Inversnaid,103000000000757,Scottish Forest Alliance ,Validated,Natural Regeneration - Upfront,Broadleaved (>80%),n/a,8,33.26,332572.7547302246,2730.19340445202
115,Scotland,103000000004604,Inversnaid,103000000000757,Scottish Forest Alliance ,Validated,Other,Open Ground,n/a,8,283.54,2835423.352935791,12017.91762269516
116,Scotland,103000000004605,Drumbow,103000000000757,Scottish Forest Alliance ,Validated,Planted,Mixed predominantly conifer (50-80%),No Grant,5,37.96,379590.6633300781,12104.071428490699
117,Scotland,103000000004605,Drumbow,103000000000757,Scottish Forest Alliance ,Validated,Other,Open Ground,No Grant,5,49.61,496149.4685821533,19325.09635131529
118,Scotland,103000000004607,Crossrigg,103000000000757,Scottish Forest Alliance ,Validated,Planted,Mixed predominantly conifer (50-80%),No Grant,5,29.39,293936.45681762695,10559.71058287231
119,Scotland,103000000004607,Crossrigg,103000000000757,Scottish Forest Alliance ,Validated,Other,Existing Woodland,No Grant,5,10.07,100713.9510345459,5847.2322180295605
120,Scotland,103000000004607,Crossrigg,103000000000757,Scottish Forest Alliance ,Validated,Other,Open Ground,No Grant,5,16.21,162124.2154083252,12456.85533836514
121,Scotland,103000000004608,Barclye,103000000000757,Scottish Forest Alliance ,Validated,Planted,Broadleaved (>80%),No Grant,6,134.42,1344204.9951705933,13507.487151630656
122,Scotland,103000000004608,Barclye,103000000000757,Scottish Forest Alliance ,Validated,Natural Regeneration - Upfront,Broadleaved (>80%),No Grant,6,2.43,24325.810569763184,952.3664957092585
123,Scotland,103000000004608,Barclye,103000000000757,Scottish Forest Alliance ,Validated,Other,Existing Woodland,No Grant,6,16.47,164663.40383911133,6434.116980003436
124,Scotland,103000000004608,Barclye,103000000000757,Scottish Forest Alliance ,Validated,Other,Open Ground,No Grant,6,214.79,2147873.236541748,16500.702665799254
125,Scotland,103000000004609,Abernethy,103000000000757,Scottish Forest Alliance ,Validated,Planted,Conifer (>80%),n/a,,93.64,936386.3188476562,46883.20347356393
126,Scotland,103000000004609,Abernethy,103000000000757,Scottish Forest Alliance ,Validated,Natural Regeneration - Upfront,Mixed predominantly broadleaved (50-80%),n/a,,103.95,1039451.614654541,45071.534340172024
127,Scotland,103000000004609,Abernethy,103000000000757,Scottish Forest Alliance ,Validated,Natural Regeneration - Upfront,Mixed predominantly conifer (50-80%),n/a,,280.85,2808460.652191162,90581.08792313015
128,Scotland,103000000004609,Abernethy,103000000000757,Scottish Forest Alliance ,Validated,Other,Existing Woodland,n/a,,54.14,541394.2681732178,14817.887475855294
129,Scotland,103000000004609,Abernethy,103000000000757,Scottish Forest Alliance ,Validated,Other,Open Ground,n/a,,1315.55,13155475.594909668,112017.07391014925
130,Scotland,103000000004610,Glen Finglas,103000000000757,Scottish Forest Alliance ,Validated,Planted,Broadleaved (>80%),No Grant,5,254.07,2540702.524017334,59671.06462744186
131,Scotland,103000000004610,Glen Finglas,103000000000757,Scottish Forest Alliance ,Validated,Natural Regeneration - Upfront,Broadleaved (>80%),No Grant,5,28.76,287627.6592102051,7822.848788290512
132,Scotland,103000000004610,Glen Finglas,103000000000757,Scottish Forest Alliance ,Validated,Other,Existing Woodland,No Grant,5,22.07,220740.77368164062,7228.6600153315985
133,Scotland,103000000004610,Glen Finglas,103000000000757,Scottish Forest Alliance ,Validated,Other,Open Ground,No Grant,5,174.88,1748840.1048736572,74604.97545163115
134,Scotland,103000000004611,Corrimony,103000000000757,Scottish Forest Alliance ,Validated,Planted,Broadleaved (>80%),No Grant,5,205.92,2059152.4453430176,24469.24996838392
135,Scotland,103000000004611,Corrimony,103000000000757,Scottish Forest Alliance ,Validated,Other,Existing Woodland,No Grant,5,405.93,4059258.970474243,92343.0558343394
136,Scotland,103000000004611,Corrimony,103000000000757,Scottish Forest Alliance ,Validated,Other,Open Ground,No Grant,5,1099.43,10994345.79977417,141498.27289513254
137,Scotland,103000000004613,Glen Quey,103000000000757,Scottish Forest Alliance ,Validated,Planted,Broadleaved (>80%),No Grant,5,382.9,3828957.635192871,12742.419861118833
138,Scotland,103000000004614,Glen Sherup,103000000000757,Scottish Forest Alliance ,Validated,Planted,Broadleaved (>80%),No Grant,5,294.78,2947797.0699005127,44651.2842157749
139,Scotland,103000000004614,Glen Sherup,103000000000757,Scottish Forest Alliance ,Validated,Other,Open Ground,No Grant,5,308.27,3082681.1550750732,57109.32898155301
140,England,103000000004625,Chalfield,103000000000754,Forest Carbon Group Scheme 1,Verified,Planted,Broadleaved (>80%),EWGS 26647,1,5.43,54340.352058410645,2243.219139006294
141,Scotland,103000000005155,Bogton Mine,103000000000847,Craigengillan Woods Phase 1,Verified,Planted,Broadleaved (>80%),SRDP 034001240,1,15.07,150656.97323608398,3482.637217779675
142,Scotland,103000000005156,Muck Water Plantation,103000000000847,Craigengillan Woods Phase 1,Verified,Planted,Broadleaved (>80%),SRDP 034900230,1,3.62,36249.37373352051,1249.7016732899885
143,Scotland,103000000005157,Auchenroy Hill,103000000000847,Craigengillan Woods Phase 1,Verified,Planted,Broadleaved (>80%),SRDP 034900388,1,84.55,845467.3339233398,7441.54551903983
144,Scotland,103000000005158,Dalcairnie Farm,103000000000847,Craigengillan Woods Phase 1,Verified,Planted,Broadleaved (>80%),SRDP 034900445,1,24.87,248669.04415893555,8175.087678626422
145,Scotland,103000000005159,Craigengillan Jubilee Woods,103000000000848,Craigengillan Woods Phase 2,Verified,Planted,Mixed predominantly broadleaved (50-80%),SRDP 4704400,1,32.09,320910.4412994385,5393.7420296036335
146,Scotland,103000000005160,Bellsbank Jubilee Wood,103000000000848,Craigengillan Woods Phase 2,Verified,Planted,Mixed predominantly conifer (50-80%),SRDP 4665438,1,0.56,5611.230804443359,295.5716957219948
147,Scotland,103000000005161,Shangaan Wood,103000000000848,Craigengillan Woods Phase 2,Verified,Planted,Mixed predominantly broadleaved (50-80%),SRDP 4712870,1,147.13,1471259.4173736572,20509.518269771102
148,England,103000000005290,Weekley Hall,,,Verified,Planted,Broadleaved (>80%),EWGS 29792,1,6.33,63319.853034973145,2989.994101461825
149,Scotland,103000000005354,"Forest of Mamlorn, Glenlochay woodland creation",,,Verified,Planted,Broadleaved (>80%),RDC_RP/3644435/716/0009/3644435/S/001,6,461.29,4612926.087219238,215596.07570715298
150,Scotland,103000000005354,"Forest of Mamlorn, Glenlochay woodland creation",,,Verified,Other,Open Ground,RDC_RP/3644435/716/0009/3644435/S/001,6,71.69,716863.3863677979,75572.39425440604
151,Scotland,103000000006187,4 Gesto,,,Verified,Planted,Broadleaved (>80%),RDC_RP/4885698/458/0021/4885698/S/001,1,367.12,3671229.3219680786,9317.164265023888
152,Scotland,103000000006288,Craig,103000000000754,Forest Carbon Group Scheme 1,Verified,Planted,Broadleaved (>80%),SRDP 446257,1,32.74,327431.927444458,3964.248076911814
153,Scotland,103000000006289,Craig Farm phase 2,103000000002945,Forest Carbon Group Scheme 2,Validated,Planted,Mixed predominantly conifer (50-80%),"SRDP 4659698, SRDP 4659705",1,79.64,796442.090927124,11030.729857726961
154,Scotland,103000000006290,Arndean,103000000000754,Forest Carbon Group Scheme 1,Verified,Planted,Mixed predominantly conifer (50-80%),"SRDP 4885485, SRDP 4885495",1,12.79,127947.93782043457,2828.3247224099737
155,Scotland,103000000006293,Kinstair,103000000000754,Forest Carbon Group Scheme 1,Verified,Planted,Conifer (>80%),SRDP 4883106,1,11.96,119586.42358398438,1586.3407549868377
156,England,103000000006294,Madresfield,103000000000754,Forest Carbon Group Scheme 1,Verified,Planted,Broadleaved (>80%),EWGS 32413,1,5.09,50928.58910369873,857.3965680166535
157,England,103000000006296,Fisherground,103000000000754,Forest Carbon Group Scheme 1,Verified,Planted,Broadleaved (>80%),EWGS 32546,1,7.32,73231.4818725586,2463.983728497549
158,England,103000000006297,Weekley Hall 2,103000000000754,Forest Carbon Group Scheme 1,Verified,Planted,Broadleaved (>80%),River Nene Regional Park 2014,1,5.78,57845.59493255615,1717.170249243894
159,Scotland,103000000006783,Garvalt Burn 2,103000000000754,Forest Carbon Group Scheme 1,Verified,Planted,Broadleaved (>80%),SRDP 4888290,1,45.15,451475.9349822998,2789.952108619715
160,England,103000000006786,Grange Estate,103000000000749,Forest of Marston Vale (G0003),Verified,Planted,Broadleaved (>80%),EWGS 2874,1,5,50005.649169921875,956.5162230697208
161,Scotland,103000000007679,Loch Duagrich,,,Verified,Planted,Mixed predominantly conifer (50-80%),RDC_RP/5232028/458/0020/5232028/S/003,1,386.7,3866951.2919006348,9071.738952513864
162,England,103000000008077,Blatherwycke Estate,,,Verified,Planted,Broadleaved (>80%),EWGS 29706,1,2.11,21067.407165527344,889.5171303374441
