OBJECTID,country,project_id,project_name,group_id,group_name,project_status,class,sub_class,grant_reference,phase,hectares,Shape__Area,Shape__Length
1325,Scotland,104000000027362,Alton Woodland Creation,,,Validated,Other,Open Ground,19FGS45564,8,6.99,69933.5541381836,8364.421429734446
1326,Scotland,104000000027364,Wellhall,,,Validated,Planted,Broadleaved (>80%),20FGS55765-001,7,5.08,50825.439865112305,2580.9854033685097
1327,Scotland,104000000027364,Wellhall,,,Validated,Other,Open Ground,20FGS55765-001,7,1.06,10560.683166503906,3318.5928274891057
1328,Scotland,104000000027365,Middleton Wood,,,Verified,Planted,Broadleaved (>80%),17FGS16637,9,3.55,35496.50891113281,2117.8372808896393
1329,Scotland,104000000027365,Middleton Wood,,,Verified,Planted,Conifer (>80%),17FGS16637,9,29.23,292261.14054870605,5226.856083669434
1330,Scotland,104000000027365,Middleton Wood,,,Verified,Other,Existing Woodland,17FGS16637,9,0.9,8982.231704711914,540.7218788607734
1331,Scotland,104000000027365,Middleton Wood,,,Verified,Other,Open Ground,17FGS16637,9,3.8,38023.77235412598,3377.8705501516038
1332,Scotland,104000000027367,Edinchat,103000000017207,Forest Carbon Group Scheme 12,Validated,Planted,Broadleaved (>80%),20FGS50143,7,1.05,10506.180191040039,927.0405533650544
1333,Scotland,104000000027367,Edinchat,103000000017207,Forest Carbon Group Scheme 12,Validated,Planted,Conifer (>80%),20FGS50143,7,13.12,131174.06979370117,2461.9411366021545
1334,Scotland,104000000027367,Edinchat,103000000017207,Forest Carbon Group Scheme 12,Validated,Other,Open Ground,20FGS50143,7,2.02,20232.22312927246,1216.859947155041
1335,Northern Ireland,104000000027372,Ballykeel Forest,,,Validated,Planted,Broadleaved (>80%),"Evidence 3 -
FES 2020_21 submission -
Ballykeel ",9,0.57,5723.400039672852,1538.1591075906442
1336,Northern Ireland,104000000027372,Ballykeel Forest,,,Validated,Planted,Conifer (>80%),"Evidence 3 -
FES 2020_21 submission -
Ballykeel ",9,3.97,39733.78160095215,1270.7142074160736
1337,Northern Ireland,104000000027372,Ballykeel Forest,,,Validated,Other,Open Ground,"Evidence 3 -
FES 2020_21 submission -
Ballykeel ",9,0.65,6525.163986206055,2047.611048524973
1338,England,104000000027373,Ryde Farm Woodland Carbon,,,Under Development,Planted,Broadleaved (>80%),,8,10.72,107194.4810944125,6263.208030638777
1339,England,104000000027373,Ryde Farm Woodland Carbon,,,Under Development,Other,Open Ground,,8,0.59,5899.749175429344,3017.0903999338852
1340,Scotland,104000000027374,Sandamhor,,,Validated,Planted,Broadleaved (>80%),19FGS37278,8,11.21,112076.28088378906,7737.85114895485
1341,Scotland,104000000027374,Sandamhor,,,Validated,Other,Open Ground,19FGS37278,8,17.04,170370.91403961182,9222.354789939382
1342,Scotland,104000000027375,Cousland,,,Validated,Planted,Broadleaved (>80%),19FGS41346,8,3.15,31450.76202392578,740.7818249110588
1343,Scotland,104000000027375,Cousland,,,Validated,Other,Open Ground,19FGS41346,8,0.33,3264.8821411132812,1032.1841542246204
1344,Scotland,104000000027377,Coire Sgreucha,,,Validated,Planted,Broadleaved (>80%),20FGS46683,8,24.57,245651.5795135498,2391.6620418727716
1345,Scotland,104000000027377,Coire Sgreucha,,,Validated,Other,Open Ground,20FGS46683,8,5.34,53446.49626159668,1971.7547957187744
1346,Scotland,104000000027378,Marbrack,,,Validated,Planted,Broadleaved (>80%),20FGS49683-001,7,4.32,43178.7081451416,3394.0521933097993
1347,Scotland,104000000027378,Marbrack,,,Validated,Planted,Conifer (>80%),20FGS49683-001,7,40.79,407864.64332580566,8489.269615741805
1348,Scotland,104000000027378,Marbrack,,,Validated,Other,Existing Woodland,20FGS49683-001,7,0.88,8792.624740600586,409.5903553534542
1349,Scotland,104000000027378,Marbrack,,,Validated,Other,Open Ground,20FGS49683-001,7,12.39,123901.63369750977,11062.440741485145
1350,Scotland,104000000027380,Strathtyrum,67,CS 9,Validated,Planted,Mixed predominantly broadleaved (50-80%),19FGS41623,8,12.04,120390.3330078125,8215.510706537354
1351,Scotland,104000000027380,Strathtyrum,67,CS 9,Validated,Other,Open Ground,19FGS41623,8,0.28,2805.783447265625,650.2797730375872
1352,England,104000000027384,Queens Wood,,,Validated,Planted,Broadleaved (>80%),MV_1_003; MV_2_005; MV_3_008,8,19.31,193105.0297012329,6526.224957707572
1353,England,104000000027384,Queens Wood,,,Validated,Other,Open Ground,MV_1_003; MV_2_005; MV_3_008,8,18.19,181891.30859375,10321.217353978742
1354,Scotland,104000000027385,Muirfauld Project,,,Validated,Planted,Broadleaved (>80%),n/a,8,0.39,3899.9456329345703,348.00628484264575
1355,Scotland,104000000027385,Muirfauld Project,,,Validated,Planted,Mixed predominantly broadleaved (50-80%),n/a,8,4.53,45334.2395324707,1655.0397281318799
1356,England,104000000027387,Halle's Wood Dunthrop Farm,,,Validated,Planted,Broadleaved (>80%),HS2WF C1 1 20_21,8,4.2,42017.2719039917,1647.3921672314802
1357,England,104000000027387,Halle's Wood Dunthrop Farm,,,Validated,Other,Open Ground,HS2WF C1 1 20_21,8,0.13,1334.0191802978516,663.413337104199
1358,Scotland,104000000027390,Birnie West Woodland Creation,,,Validated,Planted,Broadleaved (>80%),20FGS51323,8,6.46,64579.2018737793,2147.9681213839904
1359,Scotland,104000000027390,Birnie West Woodland Creation,,,Validated,Other,Open Ground,20FGS51323,8,0.58,5764.645263671875,1199.9129219779568
1360,Scotland,104000000027402,Winton Woodland Creation,,,Under Development,Planted,Broadleaved (>80%),,9,5.09,50884.03617858887,5358.402763759695
1361,Scotland,104000000027403,Achanellan Native Woodland,,,Under Development,Planted,Broadleaved (>80%),20FGS48563,9,18.01,180120.0858154297,5049.587710691598
1362,Scotland,104000000027403,Achanellan Native Woodland,,,Under Development,Natural Regeneration - Future,Broadleaved (>80%),20FGS48563,9,2.5,25041.345825195312,656.6490594706742
1363,Scotland,104000000027403,Achanellan Native Woodland,,,Under Development,Other,Open Ground,20FGS48563,9,2.09,20890.015350341797,2036.9908914523294
1364,Scotland,104000000027405,Totachocaire Native Woodland Creation,,,Validated,Planted,Broadleaved (>80%),20FGS50223,9,211.34,2113385.7987060547,48994.947457493225
1365,Scotland,104000000027405,Totachocaire Native Woodland Creation,,,Validated,Other,Open Ground,20FGS50223,9,118.03,1180312.5705795288,48221.08930930119
1366,England,104000000027408,Mitford Estate,,,Under Development,Planted,Broadleaved (>80%),,8,4.75,47463.959884643555,2456.5751945810653
1367,Scotland,104000000027409,Overwells,103000000017216,FDL 2021 Group Scheme,Validated,Planted,Broadleaved (>80%),20FGS51244,7,0.89,8897.234771728516,1504.7184393335965
1368,Scotland,104000000027409,Overwells,103000000017216,FDL 2021 Group Scheme,Validated,Planted,Conifer (>80%),20FGS51244,7,2.13,21312.340560913086,1303.6318143584392
1369,Scotland,104000000027409,Overwells,103000000017216,FDL 2021 Group Scheme,Validated,Other,Open Ground,20FGS51244,7,0.4,4017.8229064941406,1278.7600834151872
1370,Scotland,104000000027410,Symington,103000000017216,FDL 2021 Group Scheme,Validated,Planted,Broadleaved (>80%),19FGS37923,7,3.23,32315.13963317871,3949.3598219761484
1371,Scotland,104000000027421,West Kinwhirrie,,,Validated,Planted,Broadleaved (>80%),20FGS47283,9,1.75,17498.827896118164,1900.336044947158
1372,Scotland,104000000027421,West Kinwhirrie,,,Validated,Planted,Conifer (>80%),20FGS47283,9,7.1,71038.88276672363,2478.9794922587744
1373,Scotland,104000000027421,West Kinwhirrie,,,Validated,Other,Open Ground,20FGS47283,9,2.5,25013.215118408203,4286.393609003929
1374,Scotland,104000000027437,"Blackford Farms Diverse Conifer & Native Broadleaf Woodland (Cmpts 61, 76, 86 & 87)",,,Validated,Planted,Broadleaved (>80%),19FGS45963; 20FGS54343; 17FGS13998A,7,9.31,93071.73742675781,6407.871341195623
1375,Scotland,104000000027437,"Blackford Farms Diverse Conifer & Native Broadleaf Woodland (Cmpts 61, 76, 86 & 87)",,,Validated,Planted,Conifer (>80%),19FGS45963; 20FGS54343; 17FGS13998A,7,22.47,224709.35330200195,10021.16835669668
1376,Scotland,104000000027437,"Blackford Farms Diverse Conifer & Native Broadleaf Woodland (Cmpts 61, 76, 86 & 87)",,,Validated,Other,Open Ground,19FGS45963; 20FGS54343; 17FGS13998A,7,7.64,76412.6164855957,13433.776773238238
1377,Northern Ireland,104000000027439,Blackwater Wood,,,Validated,Planted,Broadleaved (>80%),NI grant,9,0.47,4652.0854568481445,967.8168387977295
1378,Northern Ireland,104000000027439,Blackwater Wood,,,Validated,Planted,Mixed predominantly broadleaved (50-80%),NI grant,9,14.67,146705.13121032715,14604.98474751616
1379,Northern Ireland,104000000027439,Blackwater Wood,,,Validated,Planted,Conifer (>80%),NI grant,9,27.73,277259.9136123657,10596.210895366125
1380,Northern Ireland,104000000027439,Blackwater Wood,,,Validated,Other,Open Ground,NI grant,9,7.83,78299.76027679443,15611.531598458945
1381,Scotland,104000000027441,Ashens Forest,,,Validated,Planted,Broadleaved (>80%),18FGS35160,7,18.24,182355.77114105225,8957.764581523414
1382,Scotland,104000000027441,Ashens Forest,,,Validated,Planted,Conifer (>80%),18FGS35160,7,51.2,511999.88397216797,13212.409008817252
1383,Scotland,104000000027441,Ashens Forest,,,Validated,Other,Open Ground,18FGS35160,7,73.77,737670.8485336304,24219.7978862794
1384,Scotland,104000000027442,Balfour Farm Woodland Creation,,,Validated,Planted,Broadleaved (>80%),18FGS35318,8,0.56,5646.103012084961,644.5537983549129
1385,Scotland,104000000027442,Balfour Farm Woodland Creation,,,Validated,Planted,Conifer (>80%),18FGS35318,8,10.32,103236.60829162598,1762.383172086373
1386,Scotland,104000000027444,Newlands 2,,,Validated,Planted,Broadleaved (>80%),20FGS49203,8,3.45,34525.86668395996,2355.108064954188
1387,Scotland,104000000027444,Newlands 2,,,Validated,Planted,Conifer (>80%),20FGS49203,8,28.06,280593.8793258667,5923.14056026086
1388,Scotland,104000000027444,Newlands 2,,,Validated,Other,Open Ground,20FGS49203,8,7.14,71374.43293762207,6897.445162723531
1389,England,104000000027447,Court Farm,70,Nicholsons Group 1,Under Development,Planted,Broadleaved (>80%),671150,8,2.98,29773.055809020996,1497.6605737065968
1390,England,104000000027447,Court Farm,70,Nicholsons Group 1,Under Development,Other,Open Ground,671150,8,0.61,6132.847518920898,2026.9873467933653
1391,Scotland,104000000027448,Rothes Hunt Hill Carbon,103000000017305,Rothes Group,Under Development,Planted,Broadleaved (>80%),19FGS42723,8,5.59,55919.63586425781,1645.8610049935785
1392,Scotland,104000000027448,Rothes Hunt Hill Carbon,103000000017305,Rothes Group,Under Development,Planted,Conifer (>80%),19FGS42723,8,64.37,643696.2144470215,8151.898017383931
1393,Scotland,104000000027448,Rothes Hunt Hill Carbon,103000000017305,Rothes Group,Under Development,Other,Open Ground,19FGS42723,8,14.8,147994.58512878418,10463.664579766299
1394,Scotland,104000000027451,Deskry,,,Validated,Planted,Broadleaved (>80%),19FGS39783,8,10.74,107372.38671875,10416.53043629538
1395,Scotland,104000000027451,Deskry,,,Validated,Planted,Conifer (>80%),19FGS39783,8,49.57,495731.13903808594,13154.904300806811
1396,Scotland,104000000027451,Deskry,,,Validated,Other,Open Ground,19FGS39783,8,28.54,285425.79864501953,26771.40732929412
1397,Scotland,104000000027453,Kailzie,,,Validated,Planted,Broadleaved (>80%),19FGS39203,8,1.51,15121.99299621582,2019.0538321380245
1398,Scotland,104000000027453,Kailzie,,,Validated,Planted,Conifer (>80%),19FGS39203,8,16.96,169556.43782043457,3981.572666106352
1399,Scotland,104000000027453,Kailzie,,,Validated,Other,Open Ground,19FGS39203,8,1.58,15795.769622802734,2445.519198488481
1400,Scotland,104000000027463,Moss of Rothes,103000000017305,Rothes Group,Under Development,Planted,Broadleaved (>80%),20FGS48463,8,10.22,102220.85961914062,5839.815224858404
1401,Scotland,104000000027463,Moss of Rothes,103000000017305,Rothes Group,Under Development,Planted,Conifer (>80%),20FGS48463,8,95.29,952853.4041137695,17030.831854697368
1402,Scotland,104000000027463,Moss of Rothes,103000000017305,Rothes Group,Under Development,Other,Open Ground,20FGS48463,8,41.97,419703.8518371582,19448.57291334703
